id,type,src,dst,app,latency,message,ctime,size,buffer
44,LINK,14,15,0,1.000002,M.USER.APP.0,4401.000002,2000,0
45,LINK,13,14,0,1.000002,M.USER.APP.0,4500,2000,0
45,LINK,14,15,0,1.000002,M.USER.APP.0,4501.000002,2000,0
46,LINK,13,14,0,1.000002,M.USER.APP.0,4600,2000,0
46,LINK,14,15,0,1.000002,M.USER.APP.0,4601.000002,2000,0
47,LINK,13,14,0,1.000002,M.USER.APP.0,4700,2000,0
47,LINK,14,15,0,1.000002,M.USER.APP.0,4701.000002,2000,0
48,LINK,13,14,0,1.000002,M.USER.APP.0,4800,2000,0
48,LINK,14,15,0,1.000002,M.USER.APP.0,4801.000002,2000,0
49,LINK,13,14,0,1.000002,M.USER.APP.0,4900,2000,0
49,LINK,14,15,0,1.000002,M.USER.APP.0,4901.000002,2000,0
50,LINK,13,14,0,1.000002,M.USER.APP.0,5000,2000,0
50,LINK,14,15,0,1.000002,M.USER.APP.0,5001.000002,2000,0
51,LINK,13,14,0,1.000002,M.USER.APP.0,5100,2000,0
51,LINK,14,15,0,1.000002,M.USER.APP.0,5101.000002,2000,0
52,LINK,13,14,0,1.000002,M.USER.APP.0,5200,2000,0
52,LINK,14,15,0,1.000002,M.USER.APP.0,5201.000002,2000,0
53,LINK,13,14,0,1.000002,M.USER.APP.0,5300,2000,0
53,LINK,14,15,0,1.000002,M.USER.APP.0,5301.000002,2000,0
54,LINK,13,14,0,1.000002,M.USER.APP.0,5400,2000,0
54,LINK,14,15,0,1.000002,M.USER.APP.0,5401.000002,2000,0
55,LINK,13,14,0,1.000002,M.USER.APP.0,5500,2000,0
55,LINK,14,15,0,1.000002,M.USER.APP.0,5501.000002,2000,0
56,LINK,13,14,0,1.000002,M.USER.APP.0,5600,2000,0
56,LINK,14,15,0,1.000002,M.USER.APP.0,5601.000002,2000,0
57,LINK,13,14,0,1.000002,M.USER.APP.0,5700,2000,0
57,LINK,14,15,0,1.000002,M.USER.APP.0,5701.000002,2000,0
58,LINK,13,14,0,1.000002,M.USER.APP.0,5800,2000,0
58,LINK,14,15,0,1.000002,M.USER.APP.0,5801.000002,2000,0
59,LINK,13,14,0,1.000002,M.USER.APP.0,5900,2000,0
59,LINK,14,15,0,1.000002,M.USER.APP.0,5901.000002,2000,0
60,LINK,13,14,0,1.000002,M.USER.APP.0,6000,2000,0
60,LINK,14,15,0,1.000002,M.USER.APP.0,6001.000002,2000,0
61,LINK,13,14,0,1.000002,M.USER.APP.0,6100,2000,0
61,LINK,14,15,0,1.000002,M.USER.APP.0,6101.000002,2000,0
62,LINK,13,14,0,1.000002,M.USER.APP.0,6200,2000,0
62,LINK,14,15,0,1.000002,M.USER.APP.0,6201.000002,2000,0
63,LINK,13,14,0,1.000002,M.USER.APP.0,6300,2000,0
63,LINK,14,15,0,1.000002,M.USER.APP.0,6301.000002,2000,0
64,LINK,13,14,0,1.000002,M.USER.APP.0,6400,2000,0
64,LINK,14,15,0,1.000002,M.USER.APP.0,6401.000002,2000,0
65,LINK,13,14,0,1.000002,M.USER.APP.0,6500,2000,0
65,LINK,14,15,0,1.000002,M.USER.APP.0,6501.000002,2000,0
66,LINK,13,14,0,1.000002,M.USER.APP.0,6600,2000,0
66,LINK,14,15,0,1.000002,M.USER.APP.0,6601.000002,2000,0
67,LINK,13,14,0,1.000002,M.USER.APP.0,6700,2000,0
67,LINK,14,15,0,1.000002,M.USER.APP.0,6701.000002,2000,0
68,LINK,13,14,0,1.000002,M.USER.APP.0,6800,2000,0
68,LINK,14,15,0,1.000002,M.USER.APP.0,6801.000002,2000,0
69,LINK,13,14,0,1.000002,M.USER.APP.0,6900,2000,0
69,LINK,14,15,0,1.000002,M.USER.APP.0,6901.000002,2000,0
70,LINK,13,14,0,1.000002,M.USER.APP.0,7000,2000,0
70,LINK,14,15,0,1.000002,M.USER.APP.0,7001.000002,2000,0
71,LINK,13,14,0,1.000002,M.USER.APP.0,7100,2000,0
71,LINK,14,15,0,1.000002,M.USER.APP.0,7101.000002,2000,0
72,LINK,13,14,0,1.000002,M.USER.APP.0,7200,2000,0
72,LINK,14,15,0,1.000002,M.USER.APP.0,7201.000002,2000,0
73,LINK,13,14,0,1.000002,M.USER.APP.0,7300,2000,0
73,LINK,14,15,0,1.000002,M.USER.APP.0,7301.000002,2000,0
74,LINK,13,14,0,1.000002,M.USER.APP.0,7400,2000,0
74,LINK,14,15,0,1.000002,M.USER.APP.0,7401.000002,2000,0
75,LINK,13,14,0,1.000002,M.USER.APP.0,7500,2000,0
75,LINK,14,15,0,1.000002,M.USER.APP.0,7501.000002,2000,0
76,LINK,13,14,0,1.000002,M.USER.APP.0,7600,2000,0
76,LINK,14,15,0,1.000002,M.USER.APP.0,7601.000002,2000,0
77,LINK,13,14,0,1.000002,M.USER.APP.0,7700,2000,0
77,LINK,14,15,0,1.000002,M.USER.APP.0,7701.000002,2000,0
78,LINK,13,14,0,1.000002,M.USER.APP.0,7800,2000,0
78,LINK,14,15,0,1.000002,M.USER.APP.0,7801.000002,2000,0
79,LINK,13,14,0,1.000002,M.USER.APP.0,7900,2000,0
79,LINK,14,15,0,1.000002,M.USER.APP.0,7901.000002,2000,0
80,LINK,13,14,0,1.000002,M.USER.APP.0,8000,2000,0
80,LINK,14,15,0,1.000002,M.USER.APP.0,8001.000002,2000,0
81,LINK,13,14,0,1.000002,M.USER.APP.0,8100,2000,0
81,LINK,14,15,0,1.000002,M.USER.APP.0,8101.000002,2000,0
82,LINK,13,14,0,1.000002,M.USER.APP.0,8200,2000,0
82,LINK,14,15,0,1.000002,M.USER.APP.0,8201.000002,2000,0
83,LINK,13,14,0,1.000002,M.USER.APP.0,8300,2000,0
83,LINK,14,15,0,1.000002,M.USER.APP.0,8301.000002,2000,0
84,LINK,13,14,0,1.000002,M.USER.APP.0,8400,2000,0
84,LINK,14,15,0,1.000002,M.USER.APP.0,8401.000002,2000,0
85,LINK,13,14,0,1.000002,M.USER.APP.0,8500,2000,0
85,LINK,14,15,0,1.000002,M.USER.APP.0,8501.000002,2000,0
86,LINK,13,14,0,1.000002,M.USER.APP.0,8600,2000,0
86,LINK,14,15,0,1.000002,M.USER.APP.0,8601.000002,2000,0
87,LINK,13,14,0,1.000002,M.USER.APP.0,8700,2000,0
87,LINK,14,15,0,1.000002,M.USER.APP.0,8701.000002,2000,0
88,LINK,13,14,0,1.000002,M.USER.APP.0,8800,2000,0
88,LINK,14,15,0,1.000002,M.USER.APP.0,8801.000002,2000,0
89,LINK,13,14,0,1.000002,M.USER.APP.0,8900,2000,0
89,LINK,14,15,0,1.000002,M.USER.APP.0,8901.000002,2000,0
90,LINK,13,14,0,1.000002,M.USER.APP.0,9000,2000,0
90,LINK,14,15,0,1.000002,M.USER.APP.0,9001.000002,2000,0
91,LINK,13,14,0,1.000002,M.USER.APP.0,9100,2000,0
91,LINK,14,15,0,1.000002,M.USER.APP.0,9101.000002,2000,0
92,LINK,13,14,0,1.000002,M.USER.APP.0,9200,2000,0
92,LINK,14,15,0,1.000002,M.USER.APP.0,9201.000002,2000,0
93,LINK,13,14,0,1.000002,M.USER.APP.0,9300,2000,0
93,LINK,14,15,0,1.000002,M.USER.APP.0,9301.000002,2000,0
94,LINK,13,14,0,1.000002,M.USER.APP.0,9400,2000,0
94,LINK,14,15,0,1.000002,M.USER.APP.0,9401.000002,2000,0
95,LINK,13,14,0,1.000002,M.USER.APP.0,9500,2000,0
95,LINK,14,15,0,1.000002,M.USER.APP.0,9501.000002,2000,0
96,LINK,13,14,0,1.000002,M.USER.APP.0,9600,2000,0
96,LINK,14,15,0,1.000002,M.USER.APP.0,9601.000002,2000,0
97,LINK,13,14,0,1.000002,M.USER.APP.0,9700,2000,0
97,LINK,14,15,0,1.000002,M.USER.APP.0,9701.000002,2000,0
98,LINK,13,14,0,1.000002,M.USER.APP.0,9800,2000,0
98,LINK,14,15,0,1.000002,M.USER.APP.0,9801.000002,2000,0
99,LINK,13,14,0,1.000002,M.USER.APP.0,9900,2000,0
99,LINK,14,15,0,1.000002,M.USER.APP.0,9901.000002,2000,0
100,LINK,13,14,0,1.000002,M.USER.APP.0,10000,2000,0
100,LINK,14,15,0,1.000002,M.USER.APP.0,10001.000002,2000,0
101,LINK,13,14,0,1.000002,M.USER.APP.0,10100,2000,0
101,LINK,14,15,0,1.000002,M.USER.APP.0,10101.000002,2000,0
102,LINK,13,14,0,1.000002,M.USER.APP.0,10200,2000,0
102,LINK,14,15,0,1.000002,M.USER.APP.0,10201.000002,2000,0
103,LINK,13,14,0,1.000002,M.USER.APP.0,10300,2000,0
103,LINK,14,15,0,1.000002,M.USER.APP.0,10301.000002,2000,0
